Player,Skill Tier,time_played,games_won,win_percentage,weapon_accuracy_best_in_game,eliminations_per_life,kill_streak_best,eliminations_avg_per_10_min,deaths_avg_per_10_min,final_blows_avg_per_10_min,solo_kills_avg_per_10_min,objective_kills_avg_per_10_min,objective_time_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills
PD22#11569,Bronze,6690,7,61,24,2.33,11,12.56,5.38,3.59,0.27,5.56,55,3535,6287,86,2004,335,72,37,57,10,11,71
glorytrooper#1339,Bronze,51987,53,65,49,2.77,16,13.25,4.78,3.99,0.43,5.98,53,4152,6208,100,8347,391,589,228,76,17,10,512
LucasTheVexd#1253,Bronze,1680,0,5,29,1,5,9.29,9.29,1.79,0,3.21,63,3568,5352,50,1329,606,25,0,57,8,0,13
Poi#21548,Bronze,8759,9,61,25,1.29,6,9.45,7.33,2.4,0.14,4.52,55,4037,6657,100,1508,385,88,25,51,12,5,87
benedryl#1748,Bronze,3793,1,21,38,1.92,8,10.92,5.69,4.75,0.95,3.16,47,4159,6903,69,1907,585,35,12,65,11,4,30
DonmastrO#2898,Bronze,1184,0,22,28,1.35,4,11.66,8.62,1.52,0,3.55,74,3724,8147,71,846,356,14,5,75,7,4,13
DeBanshee#1560,Bronze,35621,33,62,100,1.83,13,11.08,6.06,2.83,0.1,6.0,113,3778,6349,100,17615,729,252,115,70,11,10,289
Kamerica#1198,Bronze,1726,2,54,28,0.81,4,7.3,9.04,1.39,0,4.17,130,2343,6113,100,1062,327,20,7,58,5,3,9
AnNYAN#21526,Bronze,730,2,100,31,1.83,3,9.04,4.93,4.11,0.82,3.29,129,4062,8022,82,759,507,9,2,52,5,2,3
soyistaken#2484,Bronze,44524,45,60,53,1.71,11,10.26,5.98,2.82,0.2,4.96,60,3412,7276,100,25751,1020,253,158,79,15,10,311
batattackk#1401,Bronze,861,1,51,33,1.75,5,9.76,5.58,4.88,0,6.97,81,3345,6050,71,328,166,3,4,62,2,2,6
InkiePie#1760,Bronze,18361,15,52,61,1.38,11,10.23,7.42,2.48,0.1,5.2,102,3448,6406,100,4081,426,176,88,100,8,5,146
BitStinker#1564,Bronze,1169,1,89,44,1.29,4,11.29,8.73,4.11,0.51,5.65,46,4460,5465,78,509,273,11,4,59,6,2,11
reew#21907,Bronze,26499,26,62,58,1.81,9,10.6,5.84,3.46,0.32,5.03,78,3817,7221,100,12294,962,280,107,80,15,9,226
MikeMeerkat#2621,Bronze,2446,2,52,29,2.13,11,12.51,5.89,4.17,0.74,3.92,46,3598,7719,65,1319,520,8,12,61,5,5,20
我魚也#3589,Bronze,5755,6,59,23,1.35,5,8.44,6.26,2.09,0.1,4.69,94,2264,8681,80,2882,574,38,21,60,7,5,43
intoTHEstorm#11532,Bronze,4268,5,57,33,2.93,9,11.53,3.94,2.95,0.7,5.76,29,3618,8145,68,1183,334,20,26,64,4,10,29
근혜는두근두근혜#3323,Bronze,27949,22,49,57,1.66,13,11.59,7.0,3.84,0.49,4.1,66,4138,5415,100,16399,896,304,129,76,14,12,256
Jeffoxxx#11557,Bronze,1181,0,17,46,1.23,5,8.13,6.6,3.56,0,4.57,106,4259,7728,100,455,249,10,4,72,5,3,7
snepshroom#1831,Bronze,2750,3,80,43,5.64,15,13.53,2.4,3.49,0.22,5.24,48,4655,6770,79,2043,743,23,9,100,7,5,30
Archangel#16843,Bronze,2161,2,69,22,1.31,5,10.55,8.05,1.39,0.56,3.33,58,2361,5454,100,1217,486,16,7,51,6,3,16
BeansGun#1316,Bronze,168473,145,53,37,3.5,16,8.66,2.48,2.51,0.33,2.9,26,3356,6461,83,59690,774,866,582,72,13,11,1000
Miwtoo#1866,Bronze,1997,0,17,31,0.97,7,8.41,8.71,2.4,0,3.31,33,3249,6640,61,859,227,17,10,60,5,3,12
LiamJDoan#1626,Bronze,9402,11,74,29,1.76,10,10.34,5.87,2.11,0.13,5.23,64,2656,8357,100,1339,249,70,46,73,10,10,77
HigaRyuki#3744,Bronze,51845,39,46,58,1.2,10,8.08,6.75,2.04,0.14,3.92,71,3021,6176,100,19491,637,333,169,117,10,7,353
Chaos#24995,Bronze,315,1,100,10,0.75,2,5.72,7.63,1.91,1.91,0,85,1325,7048,75,161,161,2,0,51,2,0,2
Jinshu#2522,Bronze,46270,31,43,52,1.56,12,10.41,6.67,3.15,0.35,4.8,86,3293,6464,100,13680,504,296,190,72,18,7,323
WyomingSucks#1473,Bronze,2930,1,21,50,2.89,6,10.65,3.69,2.66,0.61,4.3,43,3178,5791,83,813,162,22,5,77,5,4,24
Tikapool#1356,Bronze,284,0,39,27,0.8,3,8.45,10.56,0,0,4.23,117,4267,5642,0,72,72,0,4,48,0,2,3
RunForrest#11380,Bronze,5833,7,57,50,4.27,17,16.25,3.81,7.2,1.85,5.55,19,5069,5022,71,2404,569,55,28,63,9,7,66
キラキラドーナツ#3414,Bronze,2940,0,0,29,1.71,6,9.8,5.71,3.06,0.41,3.06,91,3025,8151,64,2128,576,19,13,56,9,6,20
OlympianGame#1910,Bronze,11130,8,49,37,2.61,13,14.23,5.44,4.26,0.49,6.74,74,3927,6072,90,8608,1435,155,46,60,19,7,118
XiEta#21333,Bronze,3876,7,93,31,2.44,11,12.08,4.95,3.1,0.46,5.11,59,2806,6367,62,665,167,34,15,70,7,4,32
おけつ#3759,Bronze,16142,13,60,52,1.95,11,9.37,4.79,2.64,0.33,3.2,59,3354,8849,79,7721,681,144,47,84,13,9,91
rings42#1438,Bronze,25153,21,53,32,1.96,13,10.47,5.34,2.08,0.07,5.06,84,3988,6305,75,8311,483,191,92,55,12,9,222
LuxScavenger#1346,Bronze,11157,11,50,54,2.36,8,12.32,5.22,3.6,0.43,4.95,56,5196,5674,80,6764,562,93,48,80,12,5,90
WolfenFilms#1993,Bronze,15962,14,63,51,2.28,12,13.38,5.86,4.25,0.45,6.54,88,5427,5593,82,9570,1023,174,67,73,15,7,168
MemeMeister#11305,Bronze,1221,1,56,50,2.11,5,9.34,4.42,1.97,0.49,4.91,54,2819,6120,100,278,278,17,4,63,6,3,8
SquidToes#11473,Bronze,8212,9,65,43,2.12,11,11.91,5.63,2.92,0.22,6.14,68,3740,7170,75,4615,599,32,28,73,4,6,71
muxul#1156,Bronze,78970,51,42,52,3,13,9.33,3.11,2.84,0.6,3.66,31,3954,5358,83,27383,637,478,258,90,13,8,487
Psycopatus#21664,Bronze,37127,34,53,50,1.4,12,8.44,6.01,1.97,0.23,3.94,55,3082,5401,79,18025,940,352,100,75,13,7,217
Elika#21677,Bronze,44774,35,47,33,1.41,12,7.96,5.63,1.78,0.09,3.54,75,2468,7253,100,23024,660,339,137,62,9,8,288
AncientAI#2341,Bronze,181,0,0,19,0.33,1,3.31,9.94,0,0,0,5,4283,4427,67,234,234,1,3,38,1,3,1
Lilith#14936,Bronze,2675,1,30,26,1.12,4,8.3,7.4,1.12,0,5.16,60,2126,6039,67,1007,472,18,19,49,5,7,20
Sojourn#21934,Bronze,37761,32,51,37,1.71,8,9.14,5.34,2.69,0.32,4.26,51,2519,5974,77,18005,639,295,119,71,11,9,217
Snowberry#21433,Bronze,3597,4,79,42,1.71,6,10.01,5.84,2.0,0.33,2.84,24,2957,7196,68,978,347,25,13,84,6,4,26
JOHNDUPEE#1358,Bronze,946,1,99,24,3.4,5,10.79,3.17,3.17,0,4.44,33,2420,7947,100,10,10,10,7,62,7,6,7
SenseiBlaze#1652,Bronze,1231,0,24,19,1.2,4,8.77,7.31,2.44,0,2.92,38,3113,5670,49,363,140,6,7,46,6,4,7
Faceless#11801,Bronze,21553,18,51,37,2.12,11,11.33,5.35,3.06,0.28,5.32,48,3710,7315,83,7919,522,113,78,64,8,6,166
SOLENYA#21759,Bronze,6879,8,55,38,1.73,10,10.73,6.19,1.66,0,4.45,75,3580,4296,100,2363,341,46,25,51,8,7,57
Valkyrie#14658,Bronze,1323,1,100,21,2,4,9.07,4.53,1.36,0,2.27,11,3101,5537,53,501,429,7,2,53,7,2,7
NetShadow#2815,Bronze,14346,15,62,47,3.15,12,12.8,4.06,3.89,0.71,4.89,37,3899,7420,100,4470,388,123,53,74,9,6,98
Materwelon#3323,Bronze,1652,0,0,27,2.36,7,11.98,5.08,3.99,0.36,4.72,50,3794,8222,61,748,406,15,3,59,10,2,20
Muraza#1734,Bronze,10911,7,38,43,1.57,12,10.17,6.49,2.25,0.49,4.95,73,3841,6082,100,5262,568,116,34,74,10,5,77
hectarechan#3403,Bronze,1702,2,41,24,2.08,6,8.82,4.23,2.82,0.71,3.17,67,3086,6250,100,766,251,6,3,47,3,1,11
superKRK#2903,Bronze,25549,19,44,75,1.58,11,11.48,7.28,3.43,0.31,4.84,74,4203,5171,91,11893,667,164,72,78,9,6,235
Rauber101#1921,Bronze,15469,14,56,59,1.68,11,9.5,5.66,2.33,0.04,4.62,76,2881,6551,75,9629,578,87,64,67,6,5,94
MrPigeon#21335,Bronze,12511,11,59,38,2.03,22,11.22,5.51,3.74,0.53,5.04,54,3185,7751,73,7598,947,71,60,65,11,9,87
Faye#11464,Bronze,31727,22,48,44,1.16,8,6.86,5.9,1.51,0.06,3.27,59,2411,7185,100,11628,459,187,131,74,9,8,177
Storm179#1759,Bronze,1654,2,70,25,1.29,4,7.98,6.17,1.45,0,4.35,35,2271,6193,61,546,474,13,6,50,9,3,7
fonz85#11192,Bronze,5103,4,50,21,1.38,6,8.11,5.88,1.53,0,5.06,77,2962,5917,100,1035,270,26,28,44,5,7,40
d349kill#1791,Bronze,17754,15,50,33,1.74,9,8.35,4.8,1.52,0.14,3.45,49,2930,7689,84,4762,378,129,67,65,8,7,114
Clowndidler#1940,Bronze,14192,10,46,79,1.44,15,11.33,7.86,4.14,0.76,3.97,51,3983,5242,94,6627,472,145,41,105,12,7,112
padonn#3367,Bronze,18190,15,51,34,1.22,7,7.95,6.53,1.91,0.13,4.12,79,2993,6529,100,6817,471,90,69,62,8,8,96
Authentic#11213,Bronze,13631,12,45,34,2.34,9,10.52,4.49,2.64,0.48,5.15,48,3295,7206,74,4916,564,108,42,66,9,5,113
accelerator#31123,Bronze,8951,9,60,20,1.8,14,9.79,5.43,1.47,0.27,3.82,46,3043,6789,57,2348,381,84,36,44,9,5,65
Vidnasty#1761,Bronze,13024,13,62,53,2.32,15,12.39,5.34,3.69,0.51,5.02,25,4521,5735,82,3022,306,82,47,67,7,7,64
LIGHTNINĢ#2495,Bronze,14816,9,43,50,1.54,9,11.58,7.53,2.55,0.2,5.31,89,3828,6138,100,9191,803,120,41,67,10,5,136
메밀전병#31245,Bronze,12083,12,59,33,1.48,9,7.65,5.16,1.24,0.2,2.68,25,2427,6596,85,3582,378,82,53,100,8,5,79
Aalula#2554,Bronze,15595,15,65,40,1.18,6,7.0,5.93,1.15,0.08,3.35,69,2059,8074,86,4292,493,92,65,100,8,9,71
GrayFox#11405,Bronze,507,1,100,29,1.43,4,11.84,8.29,1.18,0,9.47,43,3152,6736,55,117,117,3,0,63,3,0,1
Cologen#1812,Bronze,523,1,86,16,3,3,10.33,3.44,1.15,0,3.44,10,2955,6279,36,380,205,5,4,50,2,2,5
pinomi#3377,Bronze,17322,15,47,44,1.02,7,5.99,5.89,0.97,0.07,2.63,50,2487,7067,75,5751,446,98,62,74,10,5,93
Chill#11564,Bronze,1265,2,74,38,2.92,8,18.02,6.16,6.64,1.42,6.16,43,4772,6147,62,414,234,24,4,64,9,2,15
NUMNARD#1281,Bronze,11376,9,49,35,2.13,12,10.23,4.8,2.32,0.26,4.22,63,3002,7195,76,5660,602,101,42,62,9,5,97
Crimsonshade#21908,Bronze,10769,6,34,50,1.28,8,7.41,5.79,1.62,0.11,3.9,86,2513,7398,100,5866,665,103,40,105,11,6,47
ShadowDragon#1660206,Bronze,490,0,0,18,1.25,3,6.12,4.89,1.22,0,1.22,23,2268,9490,61,227,155,1,0,55,1,0,1
Klishner#1259,Bronze,127,0,0,16,0.5,1,4.72,9.44,0,0,0,0,2196,13062,40,90,90,1,0,65,1,0,0
finn2d2#2853,Bronze,4433,3,46,100,2.62,7,13.8,5.28,3.79,1.08,6.5,47,4580,5863,100,2057,363,33,16,100,8,3,44
Minio#11546,Bronze,8750,7,49,30,2.39,12,10.97,4.59,2.67,0,5.35,51,2776,7129,100,4025,420,54,27,113,8,4,92
ItsjustRings#1668,Bronze,2923,2,32,44,1.21,7,8.42,6.98,1.64,0,3.7,31,4367,5813,79,548,234,19,10,56,8,4,19
TTVLimboChan#1894,Bronze,1094,1,91,71,1.36,6,10.42,7.68,3.29,1.1,6.03,24,3043,5700,46,165,72,9,6,71,7,4,7
Wheatfree#1383,Bronze,1980,2,55,39,3.27,12,14.85,4.55,5.15,0,9.39,167,3396,6651,88,970,469,19,9,73,9,5,22
yuki#33138,Bronze,12486,11,58,34,1.21,10,7.54,6.25,1.59,0.1,3.17,60,2719,8020,71,6010,527,63,49,69,6,5,72
Kurzon#1732,Bronze,1222,0,5,22,1.5,8,10.31,6.87,2.45,0,5.4,51,3287,6833,100,109,72,10,3,65,6,2,11
uidoragon#1123,Bronze,72,0,0,35,1,1,16.62,16.62,8.31,0,16.62,157,3656,5574,25,62,62,2,0,56,2,0,1
Stryder#1364,Bronze,12749,8,44,88,2.37,12,9.27,3.91,3.15,0.52,4.33,81,3007,8167,100,6211,795,77,58,93,13,13,120
BlackAngel04#2456,Silver,1578,1,66,29,1.77,7,8.74,4.94,1.14,0,3.42,31,4719,7492,65,339,216,23,4,53,12,4,11
Sentoki#2510,Silver,1329,2,87,26,1.21,5,7.68,6.32,3.16,0.9,4.06,31,3863,5508,52,571,387,10,7,55,6,4,9
benkenshin#1202,Silver,15557,16,64,37,1.55,10,10.22,6.59,2.97,0.23,4.44,71,3357,7131,100,9407,623,158,88,100,12,10,114
